,Value,Model,Label,SWF,Metrics,Error
224,0.9548783368769195,QDA,8,w/o SWF,Precision,0.045121663123080524
225,0.9129333852746396,QDA,0,w/o SWF,Recall,0.08706661472536037
226,0.578601776747779,QDA,1,w/o SWF,Recall,0.421398223252221
227,0.880248833592535,QDA,2,w/o SWF,Recall,0.11975116640746497
228,0.560352919091421,QDA,3,w/o SWF,Recall,0.43964708090857896
229,0.6642640364188164,QDA,4,w/o SWF,Recall,0.3357359635811836
230,0.9859703819173812,QDA,5,w/o SWF,Recall,0.014029618082618822
231,0.899294670846395,QDA,6,w/o SWF,Recall,0.10070532915360497
232,0.9996200607902735,QDA,7,w/o SWF,Recall,0.00037993920972645423
233,0.7925643469971402,QDA,8,w/o SWF,Recall,0.20743565300285982
234,0.9134577985219758,QDA,0,w/o SWF,Recall,0.08654220147802416
235,0.5819155037277767,QDA,1,w/o SWF,Recall,0.4180844962722233
236,0.8841883614088821,QDA,2,w/o SWF,Recall,0.11581163859111787
237,0.6136094674556213,QDA,3,w/o SWF,Recall,0.3863905325443787
238,0.6531292917402394,QDA,4,w/o SWF,Recall,0.34687070825976063
239,0.9853193517635843,QDA,5,w/o SWF,Recall,0.014680648236415683
240,0.8932165486395826,QDA,6,w/o SWF,Recall,0.10678345136041745
241,0.9992264552310965,QDA,7,w/o SWF,Recall,0.0007735447689034558
242,0.7889227255424438,QDA,8,w/o SWF,Recall,0.2110772744575562
243,0.9131172257821334,QDA,0,w/o SWF,Recall,0.08688277421786661
244,0.5761222540592168,QDA,1,w/o SWF,Recall,0.4238777459407832
245,0.888465204957102,QDA,2,w/o SWF,Recall,0.11153479504289798
246,0.5808245445829339,QDA,3,w/o SWF,Recall,0.41917545541706613
247,0.6835861532477635,QDA,4,w/o SWF,Recall,0.3164138467522365
248,0.981460244648318,QDA,5,w/o SWF,Recall,0.018539755351681952
249,0.8975514201762977,QDA,6,w/o SWF,Recall,0.10244857982370226
250,0.9990279937791602,QDA,7,w/o SWF,Recall,0.0009720062208398161
251,0.7870942812982998,QDA,8,w/o SWF,Recall,0.21290571870170016
252,0.9168746400460741,QDA,0,w/o SWF,Recall,0.08312535995392589
253,0.5826510721247563,QDA,1,w/o SWF,Recall,0.4173489278752437
254,0.8708309234625025,QDA,2,w/o SWF,Recall,0.12916907653749754
255,0.609268954818693,QDA,3,w/o SWF,Recall,0.39073104518130697
256,0.6413084823126665,QDA,4,w/o SWF,Recall,0.35869151768733354
257,0.979833236377739,QDA,5,w/o SWF,Recall,0.020166763622260997
258,0.8971944657955419,QDA,6,w/o SWF,Recall,0.10280553420445815
259,0.99942900647126,QDA,7,w/o SWF,Recall,0.0005709935287400159
260,0.7925247902364607,QDA,8,w/o SWF,Recall,0.20747520976353928
261,0.9366481090420427,QDA,0,w/o SWF,Recall,0.06335189095795735
262,0.5838117106773824,QDA,1,w/o SWF,Recall,0.41618828932261764
263,0.885576923076923,QDA,2,w/o SWF,Recall,0.11442307692307696
264,0.5440642324603326,QDA,3,w/o SWF,Recall,0.45593576753966736
265,0.6633530873637927,QDA,4,w/o SWF,Recall,0.3366469126362073
266,0.9789835689721055,QDA,5,w/o SWF,Recall,0.021016431027894522
267,0.8927408542424823,QDA,6,w/o SWF,Recall,0.10725914575751772
268,0.9994193922972712,QDA,7,w/o SWF,Recall,0.0005806077027288303
269,0.7955126943515056,QDA,8,w/o SWF,Recall,0.20448730564849438
270,0.9995178399228544,QDA,0,w/ SWF,Precision,0.00048216007714563247
271,0.9969249692496925,QDA,1,w/ SWF,Precision,0.0030750307503074614
272,0.999013076733284,QDA,2,w/ SWF,Precision,0.000986923266716011
273,0.7130032644178455,QDA,3,w/ SWF,Precision,0.28699673558215455
274,0.9284511784511784,QDA,4,w/ SWF,Precision,0.07154882154882158
275,0.9900970489205784,QDA,5,w/ SWF,Precision,0.009902951079421629
276,0.7905944986690329,QDA,6,w/ SWF,Precision,0.20940550133096714
277,0.5410988535582955,QDA,7,w/ SWF,Precision,0.45890114644170454
278,0.8846922906020884,QDA,8,w/ SWF,Precision,0.11530770939791157
279,0.9992679355783309,QDA,0,w/ SWF,Precision,0.0007320644216690653
280,0.9975270479134467,QDA,1,w/ SWF,Precision,0.002472952086553293
